Product_Collection,Lithography,nb_of_Cores,Processor_Base_Frequency,TDP
Legacy Intel® Xeon® Processors,180 nm,1,933 MHz,29.6 W
Legacy Intel® Xeon® Processors,65 nm,2,3.00 GHz,80 W
Legacy Intel® Xeon® Processors,65 nm,2,3.00 GHz,95 W
Legacy Intel® Xeon® Processors,65 nm,2,2.66 GHz,95 W
Legacy Intel® Xeon® Processors,65 nm,2,2.40 GHz,65 W
Legacy Intel® Xeon® Processors,32 nm,4,3.46 GHz,130 W
Legacy Intel® Xeon® Processors,45 nm,6,2.00 GHz,105 W
Legacy Intel® Xeon® Processors,45 nm,4,2.40 GHz,95 W
Legacy Intel® Xeon® Processors,45 nm,4,2.40 GHz,60 W
Legacy Intel® Xeon® Processors,45 nm,4,2.80 GHz,130 W
Legacy Intel® Xeon® Processors,45 nm,4,2.40 GHz,90 W
Legacy Intel® Xeon® Processors,45 nm,4,3.00 GHz,120 W
Legacy Intel® Xeon® Processors,45 nm,4,2.66 GHz,95 W
Legacy Intel® Xeon® Processors,65 nm,4,2.13 GHz,80 W
Legacy Intel® Xeon® Processors,65 nm,2,2.33 GHz,65 W
Legacy Intel® Xeon® Processors,65 nm,2,1.60 GHz,40 W
Legacy Intel® Xeon® Processors,65 nm,4,1.60 GHz,50 W
Legacy Intel® Xeon® Processors,180 nm,1,866 MHz,27.4 W
Legacy Intel® Xeon® Processors,250 nm,1,550 MHz,34 W
Legacy Intel® Xeon® Processors,180 nm,1,1.60 GHz,72 W
Legacy Intel® Xeon® Processors,130 nm,1,2.80 GHz,74 W
Legacy Intel® Xeon® Processors,65 nm,2,3.00 GHz,95 W
Legacy Intel® Xeon® Processors,65 nm,2,2.83 GHz,95 W
Legacy Intel® Xeon® Processors,90 nm,1,3.66 GHz,110 W
Legacy Intel® Xeon® Processors,90 nm,1,2.80 GHz,110 W
Legacy Intel® Xeon® Processors,45 nm,4,2.00 GHz,85 W
Legacy Intel® Xeon® Processors,45 nm,6,1.87 GHz,95 W
Legacy Intel® Xeon® Processors,45 nm,4,2.53 GHz,95 W
Legacy Intel® Xeon® Processors,45 nm,4,2.93 GHz,130 W
Legacy Intel® Xeon® Processors,45 nm,4,3.20 GHz,130 W
Legacy Intel® Xeon® Processors,45 nm,6,2.40 GHz,90 W
Legacy Intel® Xeon® Processors,65 nm,4,1.60 GHz,40 W
Legacy Intel® Xeon® Processors,45 nm,4,3.16 GHz,120 W
Legacy Intel® Xeon® Processors,65 nm,4,2.40 GHz,80 W
Legacy Intel® Xeon® Processors,180 nm,1,800 MHz,25.4 W
Legacy Intel® Xeon® Processors,250 nm,1,550 MHz,39.5 W
Legacy Intel® Xeon® Processors,180 nm,1,1.50 GHz,68 W
Legacy Intel® Xeon® Processors,65 nm,2,3.20 GHz,150 W
Legacy Intel® Xeon® Processors,130 nm,1,2.80 GHz,77 W
Legacy Intel® Xeon® Processors,65 nm,2,3.00 GHz,95 W
Legacy Intel® Xeon® Processors,65 nm,2,2.66 GHz,65 W
Legacy Intel® Xeon® Processors,90 nm,1,3.33 GHz,129 W
Legacy Intel® Xeon® Processors,90 nm,1,2.80 GHz,103 W
Legacy Intel® Xeon® Processors,32 nm,6,3.33 GHz,130 W
Legacy Intel® Xeon® Processors,32 nm,6,3.33 GHz,130 W
Legacy Intel® Xeon® Processors,45 nm,4,2.13 GHz,65 W
Legacy Intel® Xeon® Processors,45 nm,2,2.27 GHz,65 W
Legacy Intel® Xeon® Processors,45 nm,4,2.66 GHz,95 W
Legacy Intel® Xeon® Processors,45 nm,8,1.87 GHz,95 W
Legacy Intel® Xeon® Processors,45 nm,4,3.33 GHz,130 W
Legacy Intel® Xeon® Processors,45 nm,4,3.06 GHz,130 W
Legacy Intel® Xeon® Processors,45 nm,4,3.33 GHz,120 W
Legacy Intel® Xeon® Processors,45 nm,2,3.00 GHz,65 W
Legacy Intel® Xeon® Processors,45 nm,4,2.83 GHz,95 W
Legacy Intel® Xeon® Processors,45 nm,2,3.33 GHz,80 W
Legacy Intel® Xeon® Processors,90 nm,1,2.80 GHz,110 W
Legacy Intel® Xeon® Processors,65 nm,2,1.86 GHz,40 W
Legacy Intel® Xeon® Processors,65 nm,4,1.86 GHz,50 W
Legacy Intel® Xeon® Processors,180 nm,1,733 MHz,23.3 W
Legacy Intel® Xeon® Processors,250 nm,1,550 MHz,34 W
Legacy Intel® Xeon® Processors,65 nm,2,3.16 GHz,150 W
Legacy Intel® Xeon® Processors,130 nm,1,2.66 GHz,72 W
Legacy Intel® Xeon® Processors,180 nm,1,1.50 GHz,59.2 W
Legacy Intel® Xeon® Processors,90 nm,2,2.66 GHz,165 W
Legacy Intel® Xeon® Processors,65 nm,2,3.20 GHz,130 W
Legacy Intel® Xeon® Processors,90 nm,1,3.16 GHz,110 W
Legacy Intel® Xeon® Processors,90 nm,1,3.50 GHz,110 W
Legacy Intel® Xeon® Processors,32 nm,4,3.60 GHz,130 W
Legacy Intel® Xeon® Processors,45 nm,1,1.73 GHz,23 W
Legacy Intel® Xeon® Processors,45 nm,4,2.53 GHz,85 W
Legacy Intel® Xeon® Processors,45 nm,6,2.67 GHz,130 W
Legacy Intel® Xeon® Processors,45 nm,4,2.80 GHz,95 W
Legacy Intel® Xeon® Processors,45 nm,4,3.20 GHz,130 W
Legacy Intel® Xeon® Processors,45 nm,4,2.66 GHz,95 W
Legacy Intel® Xeon® Processors,45 nm,4,2.13 GHz,50 W
Legacy Intel® Xeon® Processors,45 nm,2,3.50 GHz,80 W
Intel® Xeon® Processor W Family,14 nm,18,2.30 GHz,140 W
Legacy Intel® Xeon® Processors,45 nm,4,3.00 GHz,120 W
Intel® Xeon® Processor W Family,14 nm,10,3.30 GHz,140 W
Intel® Xeon® Processor W Family,14 nm,8,3.70 GHz,140 W
Intel® Xeon® Processor W Family,14 nm,6,3.70 GHz,140 W
Intel® Xeon® Processor W Family,14 nm,6,3.60 GHz,140 W
Intel® Xeon® Processor W Family,14 nm,4,4.00 GHz,120 W
Intel® Xeon® Processor W Family,14 nm,4,3.60 GHz,120 W
Legacy Intel® Xeon® Processors,65 nm,4,2.40 GHz,80 W
Legacy Intel® Xeon® Processors,65 nm,4,2.00 GHz,50 W
Legacy Intel® Xeon® Processors,65 nm,2,2.20 GHz,40 W
Legacy Intel® Xeon® Processors,65 nm,4,2.13 GHz,105 W
Legacy Intel® Xeon® Processors,65 nm,2,3.20 GHz,95 W
Legacy Intel® Xeon® Processors,180 nm,1,667 MHz,21.3 W
Legacy Intel® Xeon® Processors,250 nm,1,500 MHz,36 W
Legacy Intel® Xeon® Processors,130 nm,1,1.50 GHz,48 W
Legacy Intel® Xeon® Processors,65 nm,2,3.40 GHz,150 W
Legacy Intel® Xeon® Processors,130 nm,1,2.40 GHz,65 W
Legacy Intel® Xeon® Processors,90 nm,2,2.80 GHz,165 W
Legacy Intel® Xeon® Processors,90 nm,1,3.00 GHz,129 W
Legacy Intel® Xeon® Processors,90 nm,1,2.80 GHz,103 W
Legacy Intel® Xeon® Processors,32 nm,6,3.46 GHz,130 W
Legacy Intel® Xeon® Processors,32 nm,6,3.46 GHz,130 W
Legacy Intel® Xeon® Processors,45 nm,2,1.73 GHz,35 W
Legacy Intel® Xeon® Processors,45 nm,4,1.73 GHz,48 W
Legacy Intel® Xeon® Processors,45 nm,8,2.00 GHz,130 W
Legacy Intel® Xeon® Processors,45 nm,6,2.00 GHz,105 W
Legacy Intel® Xeon® Processors,45 nm,4,2.93 GHz,95 W
Legacy Intel® Xeon® Processors,45 nm,4,3.20 GHz,130 W
Legacy Intel® Xeon® Processors,45 nm,4,2.80 GHz,95 W
Legacy Intel® Xeon® Processors,45 nm,6,2.13 GHz,65 W
Legacy Intel® Xeon® Processors,45 nm,1,2.40 GHz,30 W
Legacy Intel® Xeon® Processors,45 nm,4,3.00 GHz,95 W
Legacy Intel® Xeon® Processors,45 nm,2,3.16 GHz,65 W
Legacy Intel® Xeon® Processors,45 nm,2,3.40 GHz,80 W
Legacy Intel® Xeon® Processors,45 nm,4,3.20 GHz,150 W
Legacy Intel® Xeon® Processors,65 nm,4,1.86 GHz,50 W
Legacy Intel® Xeon® Processors,65 nm,2,2.40 GHz,80 W
Legacy Intel® Xeon® Processors,65 nm,2,2.13 GHz,35 W
Legacy Intel® Xeon® Processors,65 nm,4,2.66 GHz,120 W
Legacy Intel® Xeon® Processors,65 nm,4,2.40 GHz,105 W
Legacy Intel® Xeon® Processors,180 nm,1,600 MHz,19.2 W
Legacy Intel® Xeon® Processors,250 nm,1,500 MHz,36.2 W
Legacy Intel® Xeon® Processors,180 nm,1,1.40 GHz,64 W
Legacy Intel® Xeon® Processors,65 nm,2,3.33 GHz,150 W
Legacy Intel® Xeon® Processors,130 nm,1,2.40 GHz,77 W
Legacy Intel® Xeon® Processors,90 nm,2,3.00 GHz,165 W
Legacy Intel® Xeon® Processors,65 nm,2,3.46 GHz,130 W
Legacy Intel® Xeon® Processors,45 nm,4,3.06 GHz,95 W
Legacy Intel® Xeon® Processors,45 nm,4,2.13 GHz,60 W
Legacy Intel® Xeon® Processors,45 nm,8,2.27 GHz,130 W
Legacy Intel® Xeon® Processors,45 nm,8,2.00 GHz,130 W
Legacy Intel® Xeon® Processors,45 nm,4,3.16 GHz,95 W
Legacy Intel® Xeon® Processors,45 nm,4,3.33 GHz,130 W
Legacy Intel® Xeon® Processors,45 nm,4,2.93 GHz,95 W
Legacy Intel® Xeon® Processors,45 nm,6,2.66 GHz,130 W
Legacy Intel® Xeon® Processors,45 nm,4,3.40 GHz,150 W
Legacy Intel® Xeon® Processors,45 nm,2,3.00 GHz,45 W
Legacy Intel® Xeon® Processors,65 nm,4,2.66 GHz,95 W
Legacy Intel® Xeon® Processors,65 nm,4,2.93 GHz,130 W
Legacy Intel® Xeon® Processors,65 nm,2,2.93 GHz,80 W
Legacy Intel® Xeon® Processors,65 nm,4,3.00 GHz,150 W
Legacy Intel® Xeon® Processors,65 nm,2,3.50 GHz,150 W
Legacy Intel® Xeon® Processors,250 nm,1,500 MHz,44 W
Legacy Intel® Xeon® Processors,180 nm,1,1.00 GHz,30.8 W
Legacy Intel® Xeon® Processors,130 nm,1,2.00 GHz,58 W
Legacy Intel® Xeon® Processors,180 nm,1,1.40 GHz,56 W
Legacy Intel® Xeon® Processors,90 nm,2,3.00 GHz,165 W
Legacy Intel® Xeon® Processors,65 nm,2,2.33 GHz,40 W
Legacy Intel® Xeon® Processors,65 nm,2,3.73 GHz,130 W
Legacy Intel® Xeon® Processors,90 nm,1,2.83 GHz,129 W
Intel® Xeon Phi™ x100 Product Family,22 nm,60,1.05 GHz,225 W
Intel® Xeon Phi™ x100 Product Family,22 nm,60,1.05 GHz,245 W
Intel® Xeon Phi™ x100 Product Family,22 nm,61,1.24 GHz,300 W
Intel® Xeon Phi™ x100 Product Family,22 nm,61,1.24 GHz,300 W
Intel® Xeon Phi™ x100 Product Family,22 nm,61,1.24 GHz,270 W
Intel® Xeon Phi™ x100 Product Family,22 nm,61,1.24 GHz,300 W
Intel® Xeon Phi™ x200 Product Family,14 nm,72,1.50 GHz,245 W
Intel® Xeon Phi™ x200 Product Family,14 nm,68,1.40 GHz,230 W
Intel® Xeon Phi™ x200 Product Family,14 nm,68,1.40 GHz,215 W
Intel® Xeon Phi™ x200 Product Family,14 nm,64,1.30 GHz,230 W
Intel® Xeon Phi™ x200 Product Family,14 nm,64,1.30 GHz,215 W
Intel® Xeon Phi™ x200 Product Family,14 nm,64,1.30 GHz,230 W
Intel® Xeon Phi™ x200 Product Family,14 nm,64,1.30 GHz,215 W
Intel® Itanium® Processor 9700 Series,32 nm,4,2.53 GHz,170 W
Intel® Itanium® Processor 9700 Series,32 nm,8,2.13 GHz,170 W
Intel® Itanium® Processor 9700 Series,32 nm,4,1.73 GHz,130 W
Intel® Itanium® Processor 9500 Series,32 nm,8,2.13 GHz,170 W
Intel® Itanium® Processor 9500 Series,32 nm,4,2.40 GHz,170 W
Intel® Itanium® Processor 9500 Series,32 nm,8,2.53 GHz,170 W
Intel® Xeon® Processor E7 Family,32 nm,6,1.73 GHz,105 W
Intel® Xeon® Processor E7 v2 Family,22 nm,12,2.30 GHz,105 W
Intel® Xeon® Processor E7 v3 Family,22 nm,8,2.00 GHz,115 W
Intel® Xeon® Processor E7 v4 Family,14 nm,8,2.10 GHz,115 W
Intel® Xeon® Scalable Processors,14 nm,6,1.70 GHz,85 W
Legacy Intel® Celeron® Processor,65 nm,1,3.60 GHz,65 W
Intel® Celeron® Processor 1000 Series,22 nm,2,1.80 GHz,35 W
Intel® Celeron® Processor 2000 Series,22 nm,2,2.20 GHz,37 W
Intel® Pentium® Processor G Series,22 nm,2,2.80 GHz,55 W
Intel® Pentium® Processor D Series,14 nm,2,1.20 GHz,20 W
Legacy Intel® Core™ Processors,32 nm,4,2.70 GHz,55 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,1.60 GHz,11.5 W
4th Generation Intel® Core™ i5 Processors,22 nm,4,3.40 GHz,84 W
4th Generation Intel® Core™ i7 Processors,22 nm,2,3.00 GHz,28 W
5th Generation Intel® Core™ M Processors,14 nm,2,800 MHz,4.5 W
5th Generation Intel® Core™ M Processors,14 nm,2,800 MHz,4.5 W
5th Generation Intel® Core™ i5 Processors,14 nm,2,2.20 GHz,15 W
5th Generation Intel® Core™ i5 Processors,14 nm,2,1.60 GHz,15 W
5th Generation Intel® Core™ i5 Processors,14 nm,2,2.70 GHz,28 W
5th Generation Intel® Core™ i5 Processors,14 nm,2,2.90 GHz,28 W
5th Generation Intel® Core™ i5 Processors,14 nm,2,2.30 GHz,15 W
5th Generation Intel® Core™ i5 Processors,14 nm,2,3.10 GHz,47 W
5th Generation Intel® Core™ i5 Processors,14 nm,2,1.80 GHz,15 W
5th Generation Intel® Core™ i5 Processors,14 nm,4,2.80 GHz,65 W
5th Generation Intel® Core™ i5 Processors,14 nm,4,3.10 GHz,65 W
5th Generation Intel® Core™ i3 Processors,14 nm,2,2.00 GHz,15 W
5th Generation Intel® Core™ i5 Processors,14 nm,4,3.10 GHz,65 W
5th Generation Intel® Core™ i3 Processors,14 nm,2,2.10 GHz,15 W
5th Generation Intel® Core™ i3 Processors,14 nm,2,2.10 GHz,15 W
5th Generation Intel® Core™ i3 Processors,14 nm,2,2.20 GHz,15 W
5th Generation Intel® Core™ i3 Processors,14 nm,2,2.50 GHz,28 W
5th Generation Intel® Core™ M Processors,14 nm,2,800 MHz,4.5 W
5th Generation Intel® Core™ M Processors,14 nm,2,900 MHz,4.5 W
5th Generation Intel® Core™ M Processors,14 nm,2,1.10 GHz,4.5 W
5th Generation Intel® Core™ M Processors,14 nm,2,1.10 GHz,4.5 W
5th Generation Intel® Core™ M Processors,14 nm,2,1.20 GHz,4.5 W
4th Generation Intel® Core™ i7 Processors,22 nm,2,2.80 GHz,28 W
4th Generation Intel® Core™ i7 Processors,22 nm,2,1.50 GHz,15 W
4th Generation Intel® Core™ i7 Processors,22 nm,2,2.00 GHz,15 W
4th Generation Intel® Core™ i7 Processors,22 nm,2,1.80 GHz,15 W
4th Generation Intel® Core™ i7 Processors,22 nm,2,1.70 GHz,15 W
4th Generation Intel® Core™ i7 Processors,22 nm,2,1.70 GHz,11.5 W
4th Generation Intel® Core™ i7 Processors,22 nm,2,3.00 GHz,37 W
4th Generation Intel® Core™ i7 Processors,22 nm,2,2.10 GHz,15 W
4th Generation Intel® Core™ i7 Processors,22 nm,2,2.90 GHz,37 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.70 GHz,45 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,3.20 GHz,65 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,3.60 GHz,84 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.20 GHz,35 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,3.50 GHz,84 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.30 GHz,45 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.50 GHz,45 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,3.10 GHz,65 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,3.20 GHz,65 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,3.40 GHz,84 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.00 GHz,35 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,3.50 GHz,84 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,4.00 GHz,88 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.20 GHz,47 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.10 GHz,47 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.00 GHz,47 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.40 GHz,37 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.60 GHz,47 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.30 GHz,37 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.30 GHz,37 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.50 GHz,47 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.50 GHz,47 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.20 GHz,37 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.20 GHz,37 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.00 GHz,27 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.40 GHz,47 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.40 GHz,47 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.40 GHz,47 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.70 GHz,43 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.50 GHz,47 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.40 GHz,47 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.30 GHz,47 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.80 GHz,47 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.70 GHz,47 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.80 GHz,47 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.60 GHz,47 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.40 GHz,47 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.90 GHz,47 W
4th Generation Intel® Core™ i7 Processors,22 nm,4,2.80 GHz,47 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,2.60 GHz,28 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,2.60 GHz,28 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,1.40 GHz,15 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,2.40 GHz,28 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,1.30 GHz,15 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,1.60 GHz,11.5 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,1.50 GHz,11.5 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,1.70 GHz,15 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,2.60 GHz,37 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,2.90 GHz,47 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,1.60 GHz,11.5 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,1.40 GHz,11.5 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,1.60 GHz,15 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,2.50 GHz,37 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,1.50 GHz,15 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,2.80 GHz,47 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,1.40 GHz,15 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,2.90 GHz,37 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,2.80 GHz,37 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,2.00 GHz,15 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,2.70 GHz,37 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,2.80 GHz,28 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,1.60 GHz,11.5 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,1.60 GHz,11.5 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,1.90 GHz,15 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,2.60 GHz,37 W
4th Generation Intel® Core™ i5 Processors,22 nm,4,3.00 GHz,84 W
4th Generation Intel® Core™ i5 Processors,22 nm,4,3.10 GHz,84 W
4th Generation Intel® Core™ i5 Processors,22 nm,4,2.80 GHz,65 W
4th Generation Intel® Core™ i5 Processors,22 nm,4,2.70 GHz,65 W
4th Generation Intel® Core™ i5 Processors,22 nm,4,3.20 GHz,84 W
4th Generation Intel® Core™ i5 Processors,22 nm,4,2.90 GHz,65 W
4th Generation Intel® Core™ i5 Processors,22 nm,4,1.90 GHz,35 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,2.70 GHz,37 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,1.60 GHz,25 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,2.50 GHz,27 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,2.90 GHz,37 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,1.80 GHz,25 W
4th Generation Intel® Core™ i5 Processors,22 nm,4,2.00 GHz,35 W
4th Generation Intel® Core™ i5 Processors,22 nm,4,3.00 GHz,65 W
4th Generation Intel® Core™ i5 Processors,22 nm,4,3.30 GHz,84 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,2.70 GHz,35 W
4th Generation Intel® Core™ i5 Processors,22 nm,2,2.90 GHz,35 W
4th Generation Intel® Core™ i5 Processors,22 nm,4,2.90 GHz,65 W
4th Generation Intel® Core™ i5 Processors,22 nm,4,2.70 GHz,65 W
4th Generation Intel® Core™ i5 Processors,22 nm,4,3.20 GHz,84 W
4th Generation Intel® Core™ i5 Processors,22 nm,4,2.50 GHz,45 W
4th Generation Intel® Core™ i5 Processors,22 nm,4,3.20 GHz,65 W
4th Generation Intel® Core™ i5 Processors,22 nm,4,3.50 GHz,88 W
4th Generation Intel® Core™ i5 Processors,22 nm,4,3.50 GHz,84 W
4th Generation Intel® Core™ i5 Processors,22 nm,4,2.30 GHz,45 W
4th Generation Intel® Core™ i5 Processors,22 nm,4,3.00 GHz,65 W
4th Generation Intel® Core™ i5 Processors,22 nm,4,3.10 GHz,65 W
4th Generation Intel® Core™ i5 Processors,22 nm,4,3.40 GHz,84 W
Legacy Intel® Core™ Processors,45 nm,1,1.30 GHz,5.5 W
Legacy Intel® Core™ Processors,65 nm,1,1.73 GHz,31 W
Legacy Intel® Core™ Processors,65 nm,1,1.66 GHz,27 W
Legacy Intel® Core™ Processors,65 nm,1,1.86 GHz,31 W
Legacy Intel® Core™ Processors,65 nm,1,1.83 GHz,27 W
Legacy Intel® Core™ Processors,65 nm,1,1.06 GHz,6 W
Legacy Intel® Core™ Processors,65 nm,1,1.20 GHz,6 W
Legacy Intel® Core™ Processors,65 nm,1,1.33 GHz,5.5 W
Legacy Intel® Core™ Processors,65 nm,1,1.06 GHz,5.5 W
Legacy Intel® Core™ Processors,65 nm,1,1.20 GHz,5.5 W
Legacy Intel® Core™ Processors,45 nm,1,1.40 GHz,5.5 W
Legacy Intel® Core™ Processors,45 nm,1,1.20 GHz,5.5 W
Legacy Intel® Core™ Processors,65 nm,2,1.06 GHz,9 W
Legacy Intel® Core™ Processors,65 nm,2,1.20 GHz,9 W
Legacy Intel® Core™ Processors,65 nm,2,1.06 GHz,10 W
Legacy Intel® Core™ Processors,65 nm,2,1.06 GHz,10 W
Legacy Intel® Core™ Processors,65 nm,2,1.20 GHz,10 W
Legacy Intel® Core™ Processors,65 nm,2,1.20 GHz,10 W
Legacy Intel® Core™ Processors,65 nm,2,1.33 GHz,10 W
Legacy Intel® Core™ Processors,65 nm,2,1.60 GHz,31 W
Legacy Intel® Core™ Processors,65 nm,2,1.73 GHz,31 W
Legacy Intel® Core™ Processors,65 nm,2,1.66 GHz,31 W
Legacy Intel® Core™ Processors,65 nm,2,1.66 GHz,31 W
Legacy Intel® Core™ Processors,65 nm,2,1.86 GHz,31 W
Legacy Intel® Core™ Processors,65 nm,2,1.83 GHz,31 W
Legacy Intel® Core™ Processors,65 nm,2,2.00 GHz,31 W
Legacy Intel® Core™ Processors,65 nm,2,2.00 GHz,31 W
Legacy Intel® Core™ Processors,65 nm,2,2.16 GHz,31 W
Legacy Intel® Core™ Processors,65 nm,2,1.60 GHz,34 W
Legacy Intel® Core™ Processors,65 nm,2,2.33 GHz,31 W
Legacy Intel® Core™ Processors,65 nm,2,1.50 GHz,35 W
Legacy Intel® Core™ Processors,65 nm,2,1.40 GHz,35 W
Legacy Intel® Core™ Processors,65 nm,2,1.73 GHz,34 W
Legacy Intel® Core™ Processors,65 nm,2,1.66 GHz,35 W
Legacy Intel® Core™ Processors,65 nm,2,1.60 GHz,35 W
Legacy Intel® Core™ Processors,65 nm,2,1.66 GHz,34 W
Legacy Intel® Core™ Processors,65 nm,2,1.83 GHz,35 W
Legacy Intel® Core™ Processors,65 nm,2,1.83 GHz,34 W
Legacy Intel® Core™ Processors,65 nm,2,1.80 GHz,35 W
Legacy Intel® Core™ Processors,65 nm,2,2.00 GHz,35 W
Legacy Intel® Core™ Processors,65 nm,2,2.00 GHz,35 W
Legacy Intel® Core™ Processors,65 nm,2,2.00 GHz,35 W
Legacy Intel® Core™ Processors,45 nm,2,2.00 GHz,35 W
Legacy Intel® Core™ Processors,45 nm,2,2.10 GHz,35 W
Legacy Intel® Core™ Processors,45 nm,2,2.20 GHz,35 W
Legacy Intel® Core™ Processors,45 nm,2,2.20 GHz,35 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,1.90 GHz,15 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,1.90 GHz,15 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,1.50 GHz,11.5 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,1.50 GHz,11.5 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,1.30 GHz,11.5 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,1.70 GHz,15 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,1.70 GHz,15 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,2.40 GHz,37 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,3.40 GHz,54 W
Legacy Intel® Core™ Processors,65 nm,2,1.80 GHz,35 W
4th Generation Intel® Core™ i3 Processors,22 nm,2,2.90 GHz,35 W
Legacy Intel® Core™ Processors,65 nm,2,2.00 GHz,34 W
Legacy Intel® Core™ Processors,65 nm,2,2.00 GHz,35 W
Legacy Intel® Core™ Processors,65 nm,2,2.00 GHz,35 W
Legacy Intel® Core™ Processors,65 nm,2,2.16 GHz,34 W
Legacy Intel® Core™ Processors,65 nm,2,2.20 GHz,35 W
Legacy Intel® Core™ Processors,65 nm,2,2.33 GHz,34 W
Legacy Intel® Core™ Processors,65 nm,2,2.40 GHz,35 W
Legacy Intel® Core™ Processors,45 nm,2,2.10 GHz,35 W
Legacy Intel® Core™ Processors,45 nm,2,2.40 GHz,35 W
Legacy Intel® Core™ Processors,65 nm,2,2.60 GHz,35 W
Legacy Intel® Core™ Processors,45 nm,2,2.50 GHz,35 W
Legacy Intel® Core™ Processors,45 nm,2,2.53 GHz,35 W
Legacy Intel® Core™ Processors,45 nm,2,2.60 GHz,35 W
Legacy Intel® Core™ Processors,45 nm,2,2.66 GHz,35 W
